,Khu vực,Năm,Tỷ suất trẻ em chết dưới 1 tuổi
75,Bình Định,2008,17.0
76,Bạc Liêu,2008,13.0
77,Bắc Giang,2008,18.0
78,Bắc Kạn,2008,21.0
79,Bắc Ninh,2008,15.0
80,Bắc Trung Bộ và Duyên hải miền Trung,2008,16.0
81,Bến Tre,2008,14.0
82,Cao Bằng,2008,40.0
83,Cà Mau,2008,14.0
84,CẢ NƯỚC,2008,15.0
85,Cần Thơ,2008,10.0
86,Gia Lai,2008,28.0
87,Hoà Bình,2008,40.0
88,Hà Giang,2008,14.0
89,Hà Nam,2008,7.0
90,Hà Nội,2008,18.0
91,Hà Tĩnh,2008,28.0
92,Hưng Yên,2008,15.0
93,Hải Dương,2008,12.0
94,Hải Phòng,2008,11.0
95,Hậu Giang,2008,13.0
96,Khánh Hoà,2008,14.0
97,Kiên Giang,2008,14.0
98,Kon Tum,2008,48.0
99,Lai Châu,2008,33.0
100,Long An,2008,12.0
101,Lào Cai,2008,23.0
102,Lâm Đồng,2008,14.0
103,Lạng Sơn,2008,22.0
104,Nam Định,2008,11.0
105,Nghệ An,2008,26.0
106,Ninh Bình,2008,13.0
107,Ninh Thuận,2008,20.0
108,Phú Thọ,2008,19.0
109,Phú Yên,2008,22.0
110,Quảng Bình,2008,17.0
111,Quảng Nam,2008,17.0
112,Quảng Ngãi,2008,16.0
113,Quảng Ninh,2008,18.0
114,Quảng Trị,2008,35.0
115,Sóc Trăng,2008,22.0
116,Sơn La,2008,28.0
117,TP.Hồ Chí Minh,2008,12.0
118,Thanh Hoá,2008,19.0
119,Thái Bình,2008,11.0
120,Thái Nguyên,2008,19.0
121,Thừa Thiên Huế,2008,15.0
122,Tiền Giang,2008,13.0
123,Trung du và miền núi phía Bắc,2008,21.0
124,Trà Vinh,2008,18.0
125,Tuyên Quang,2008,32.0
126,Tây Nguyên,2008,23.0
127,Tây Ninh,2008,14.0
128,Vĩnh Long,2008,13.0
129,Vĩnh Phúc,2008,12.0
130,Yên Bái,2008,32.0
131,Điện Biên,2008,33.0
132,Đà Nẵng,2008,11.0
133,Đông Nam Bộ,2008,8.0
134,Đắk Lắk,2008,19.0
135,Đắk Nông,2008,27.0
136,Đồng Nai,2008,11.0
137,Đồng Tháp,2008,18.0
138,Đồng bằng sông Cửu Long,2008,11.0
139,Đồng bằng sông Hồng,2008,11.0
140,An Giang,2009,17.0
141,Bà Rịa - Vũng Tàu,2009,10.0
142,Bình Dương,2009,9.8
143,Bình Phước,2009,19.0
144,Bình Thuận,2009,15.0
145,Bình Định,2009,18.5
146,Bạc Liêu,2009,14.0
147,Bắc Giang,2009,17.2
148,Bắc Kạn,2009,19.9
149,Bắc Ninh,2009,13.2
150,Bắc Trung Bộ và Duyên hải miền Trung,2009,17.2
151,Bến Tre,2009,13.0
152,Cao Bằng,2009,28.7
153,Cà Mau,2009,15.0
154,CẢ NƯỚC,2009,16.0
155,Cần Thơ,2009,9.6
156,Gia Lai,2009,25.8
157,Hoà Bình,2009,37.5
158,Hà Giang,2009,15.9
159,Hà Nam,2009,10.7
160,Hà Nội,2009,18.2
161,Hà Tĩnh,2009,19.9
162,Hưng Yên,2009,13.2
163,Hải Dương,2009,12.9
164,Hải Phòng,2009,11.8
165,Hậu Giang,2009,12.0
166,Khánh Hoà,2009,16.5
167,Kiên Giang,2009,15.0
168,Kon Tum,2009,38.2
169,Lai Châu,2009,47.7
170,Long An,2009,11.0
171,Lào Cai,2009,32.0
172,Lâm Đồng,2009,14.6
173,Lạng Sơn,2009,19.7
174,Nam Định,2009,13.5
175,Nghệ An,2009,18.5
176,Ninh Bình,2009,15.9
177,Ninh Thuận,2009,22.6
178,Phú Thọ,2009,18.8
179,Phú Yên,2009,21.0
180,Quảng Bình,2009,20.9
181,Quảng Nam,2009,21.0
182,Quảng Ngãi,2009,20.0
183,Quảng Ninh,2009,16.1
184,Quảng Trị,2009,38.0
185,Sóc Trăng,2009,17.0
186,Sơn La,2009,27.5
187,TP.Hồ Chí Minh,2009,8.9
188,Thanh Hoá,2009,17.0
189,Thái Bình,2009,11.8
190,Thái Nguyên,2009,14.8
191,Thừa Thiên Huế,2009,23.0
192,Tiền Giang,2009,12.0
193,Trung du và miền núi phía Bắc,2009,24.5
194,Trà Vinh,2009,17.0
195,Tuyên Quang,2009,19.9
196,Tây Nguyên,2009,27.3
197,Tây Ninh,2009,14.0
198,Vĩnh Long,2009,12.0
199,Vĩnh Phúc,2009,12.9
200,Yên Bái,2009,28.7
201,Điện Biên,2009,39.7
202,Đà Nẵng,2009,11.0
203,Đông Nam Bộ,2009,10.0
204,Đắk Lắk,2009,22.1
205,Đắk Nông,2009,26.8
206,Đồng Nai,2009,9.8
207,Đồng Tháp,2009,16.0
208,Đồng bằng sông Cửu Long,2009,13.3
209,Đồng bằng sông Hồng,2009,12.4
210,An Giang,2010,15.8
211,Bà Rịa - Vũng Tàu,2010,8.9
212,Bình Dương,2010,9.0
213,Bình Phước,2010,16.2
214,Bình Thuận,2010,14.0
215,Bình Định,2010,15.2
216,Bạc Liêu,2010,12.8
217,Bắc Giang,2010,16.7
218,Bắc Kạn,2010,19.5
219,Bắc Ninh,2010,12.9
220,Bắc Trung Bộ và Duyên hải miền Trung,2010,17.1
221,Bến Tre,2010,11.5
222,Cao Bằng,2010,28.2
223,Cà Mau,2010,14.0
224,CẢ NƯỚC,2010,15.8
225,Cần Thơ,2010,9.0
226,Gia Lai,2010,25.7
227,Hoà Bình,2010,37.1
228,Hà Giang,2010,15.7
229,Hà Nam,2010,10.4
230,Hà Nội,2010,17.5
231,Hà Tĩnh,2010,19.4
232,Hưng Yên,2010,12.9
233,Hải Dương,2010,12.2
234,Hải Phòng,2010,11.5
235,Hậu Giang,2010,10.6
236,Khánh Hoà,2010,15.0
237,Kiên Giang,2010,13.6
238,Kon Tum,2010,38.1
239,Lai Châu,2010,46.1
240,Long An,2010,9.8
241,Lào Cai,2010,31.6
242,Lâm Đồng,2010,14.5
243,Lạng Sơn,2010,16.7
244,Nam Định,2010,13.2
245,Nghệ An,2010,16.8
246,Ninh Bình,2010,15.4
247,Ninh Thuận,2010,18.8
248,Phú Thọ,2010,18.2
249,Phú Yên,2010,19.2
250,Quảng Bình,2010,18.1
251,Quảng Nam,2010,19.5
252,Quảng Ngãi,2010,18.0
253,Quảng Ninh,2010,15.8
254,Quảng Trị,2010,36.0
255,Sóc Trăng,2010,15.0
256,Sơn La,2010,25.6
257,TP.Hồ Chí Minh,2010,7.7
258,Thanh Hoá,2010,15.0
259,Thái Bình,2010,11.5
260,Thái Nguyên,2010,14.0
261,Thừa Thiên Huế,2010,19.3
262,Tiền Giang,2010,10.6
263,Trung du và miền núi phía Bắc,2010,24.3
264,Trà Vinh,2010,15.0
265,Tuyên Quang,2010,19.0
266,Tây Nguyên,2010,26.8
267,Tây Ninh,2010,13.0
268,Vĩnh Long,2010,11.5
269,Vĩnh Phúc,2010,12.6
270,Yên Bái,2010,26.5
271,Điện Biên,2010,37.3
272,Đà Nẵng,2010,10.1
273,Đông Nam Bộ,2010,9.6
274,Đắk Lắk,2010,22.0
275,Đắk Nông,2010,26.6
276,Đồng Nai,2010,9.0
277,Đồng Tháp,2010,14.0
278,Đồng bằng sông Cửu Long,2010,12.6
279,Đồng bằng sông Hồng,2010,12.3
280,An Giang,2011,14.2
281,Bà Rịa - Vũng Tàu,2011,8.5
282,Bình Dương,2011,9.5
283,Bình Phước,2011,15.9
284,Bình Thuận,2011,13.7
285,Bình Định,2011,16.0
286,Bạc Liêu,2011,13.1
287,Bắc Giang,2011,15.7
288,Bắc Kạn,2011,18.4
289,Bắc Ninh,2011,13.4
290,Bắc Trung Bộ và Duyên hải miền Trung,2011,17.1
291,Bến Tre,2011,10.4
292,Cao Bằng,2011,24.8
293,Cà Mau,2011,12.9
294,CẢ NƯỚC,2011,15.5
295,Cần Thơ,2011,9.2
296,Gia Lai,2011,27.0
297,Hoà Bình,2011,35.0
298,Hà Giang,2011,15.0
299,Hà Nam,2011,10.8
300,Hà Nội,2011,18.0
301,Hà Tĩnh,2011,17.4
302,Hưng Yên,2011,13.4
303,Hải Dương,2011,12.7
304,Hải Phòng,2011,12.3
305,Hậu Giang,2011,10.7
306,Khánh Hoà,2011,15.0
307,Kiên Giang,2011,13.1
308,Kon Tum,2011,40.7
309,Lai Châu,2011,43.5
310,Long An,2011,10.2
311,Lào Cai,2011,29.8
312,Lâm Đồng,2011,14.2
313,Lạng Sơn,2011,19.2
314,Nam Định,2011,13.8
315,Nghệ An,2011,16.7
316,Ninh Bình,2011,16.0
317,Ninh Thuận,2011,18.4
318,Phú Thọ,2011,17.2
319,Phú Yên,2011,18.8
320,Quảng Bình,2011,19.0
321,Quảng Nam,2011,19.9
322,Quảng Ngãi,2011,19.9
323,Quảng Ninh,2011,16.4
324,Quảng Trị,2011,35.4
325,Sóc Trăng,2011,14.3
326,Sơn La,2011,24.1
327,TP.Hồ Chí Minh,2011,7.7
328,Thanh Hoá,2011,14.2
329,Thái Bình,2011,12.2
330,Thái Nguyên,2011,13.7
331,Thừa Thiên Huế,2011,18.9
332,Tiền Giang,2011,9.6
333,Trung du và miền núi phía Bắc,2011,23.0
334,Trà Vinh,2011,13.9
335,Tuyên Quang,2011,18.6
336,Tây Nguyên,2011,24.3
337,Tây Ninh,2011,12.3
338,Vĩnh Long,2011,11.1
339,Vĩnh Phúc,2011,13.1
340,Yên Bái,2011,26.1
341,Điện Biên,2011,35.2
342,Đà Nẵng,2011,9.9
343,Đông Nam Bộ,2011,9.3
344,Đắk Lắk,2011,22.0
345,Đắk Nông,2011,26.1
346,Đồng Nai,2011,9.2
347,Đồng Tháp,2011,12.7
348,Đồng bằng sông Cửu Long,2011,12.2
349,Đồng bằng sông Hồng,2011,12.5
350,An Giang,2012,15.2
351,Bà Rịa - Vũng Tàu,2012,8.7
352,Bình Dương,2012,9.4
353,Bình Phước,2012,14.8
354,Bình Thuận,2012,13.4
355,Bình Định,2012,16.0
356,Bạc Liêu,2012,12.9
357,Bắc Giang,2012,16.0
358,Bắc Kạn,2012,18.7
359,Bắc Ninh,2012,13.7
360,Bắc Trung Bộ và Duyên hải miền Trung,2012,17.1
361,Bến Tre,2012,10.3
362,Cao Bằng,2012,25.2
363,Cà Mau,2012,11.9
364,CẢ NƯỚC,2012,15.4
365,Cần Thơ,2012,9.9
366,Gia Lai,2012,30.8
367,Hoà Bình,2012,35.8
368,Hà Giang,2012,12.6
369,Hà Nam,2012,10.5
370,Hà Nội,2012,18.1
371,Hà Tĩnh,2012,17.7
372,Hưng Yên,2012,13.0
373,Hải Dương,2012,12.3
374,Hải Phòng,2012,12.7
375,Hậu Giang,2012,10.6
376,Khánh Hoà,2012,14.7
377,Kiên Giang,2012,12.9
378,Kon Tum,2012,40.0
379,Lai Châu,2012,44.2
380,Long An,2012,10.0
381,Lào Cai,2012,30.3
382,Lâm Đồng,2012,16.5
383,Lạng Sơn,2012,19.5
384,Nam Định,2012,13.4
385,Nghệ An,2012,17.4
386,Ninh Bình,2012,15.1
387,Ninh Thuận,2012,17.4
388,Phú Thọ,2012,15.8
389,Phú Yên,2012,16.0
390,Quảng Bình,2012,18.0
391,Quảng Nam,2012,17.4
392,Quảng Ngãi,2012,18.9
393,Quảng Ninh,2012,16.0
394,Quảng Trị,2012,33.8
395,Sóc Trăng,2012,13.9
396,Sơn La,2012,24.5
397,TP.Hồ Chí Minh,2012,8.1
398,Thanh Hoá,2012,16.2
399,Thái Bình,2012,11.0
400,Thái Nguyên,2012,15.3
401,Thừa Thiên Huế,2012,21.0
402,Tiền Giang,2012,9.5
403,Trung du và miền núi phía Bắc,2012,23.5
404,Trà Vinh,2012,12.9
405,Tuyên Quang,2012,18.9
406,Tây Nguyên,2012,26.4
407,Tây Ninh,2012,12.5
408,Vĩnh Long,2012,10.9
409,Vĩnh Phúc,2012,13.7
410,Yên Bái,2012,29.6
411,Điện Biên,2012,35.8
412,Đà Nẵng,2012,9.5
413,Đông Nam Bộ,2012,9.2
414,Đắk Lắk,2012,24.6
415,Đắk Nông,2012,28.5
416,Đồng Nai,2012,8.1
417,Đồng Tháp,2012,12.5
418,Đồng bằng sông Cửu Long,2012,12.0
419,Đồng bằng sông Hồng,2012,12.3
420,An Giang,2013,15.1
421,Bà Rịa - Vũng Tàu,2013,8.6
422,Bình Dương,2013,9.4
423,Bình Phước,2013,14.8
424,Bình Thuận,2013,13.2
425,Bình Định,2013,15.9
426,Bạc Liêu,2013,12.7
427,Bắc Giang,2013,15.8
428,Bắc Kạn,2013,18.5
429,Bắc Ninh,2013,13.5
430,Bắc Trung Bộ và Duyên hải miền Trung,2013,17.0
431,Bến Tre,2013,10.3
432,Cao Bằng,2013,25.1
433,Cà Mau,2013,11.9
434,CẢ NƯỚC,2013,15.3
435,Cần Thơ,2013,9.8
436,Gia Lai,2013,30.6
437,Hoà Bình,2013,35.3
438,Hà Giang,2013,12.6
439,Hà Nam,2013,10.5
440,Hà Nội,2013,18.0
441,Hà Tĩnh,2013,17.7
442,Hưng Yên,2013,12.9
443,Hải Dương,2013,12.3
444,Hải Phòng,2013,12.6
445,Hậu Giang,2013,10.6
446,Khánh Hoà,2013,14.7
447,Kiên Giang,2013,13.0
448,Kon Tum,2013,40.0
449,Lai Châu,2013,44.0
450,Long An,2013,10.0
451,Lào Cai,2013,30.2
452,Lâm Đồng,2013,16.5
453,Lạng Sơn,2013,19.2
454,Nam Định,2013,13.2
455,Nghệ An,2013,17.4
456,Ninh Bình,2013,15.1
457,Ninh Thuận,2013,17.2
458,Phú Thọ,2013,15.8
459,Phú Yên,2013,15.9
460,Quảng Bình,2013,17.8
461,Quảng Nam,2013,17.5
462,Quảng Ngãi,2013,18.8
463,Quảng Ninh,2013,15.9
464,Quảng Trị,2013,33.5
465,Sóc Trăng,2013,13.8
466,Sơn La,2013,24.0
467,TP.Hồ Chí Minh,2013,8.1
468,Thanh Hoá,2013,16.0
469,Thái Bình,2013,10.8
470,Thái Nguyên,2013,15.3
471,Thừa Thiên Huế,2013,21.0
472,Tiền Giang,2013,9.6
473,Trung du và miền núi phía Bắc,2013,23.2
474,Trà Vinh,2013,12.9
475,Tuyên Quang,2013,18.9
476,Tây Nguyên,2013,26.1
477,Tây Ninh,2013,12.4
478,Vĩnh Long,2013,10.6
479,Vĩnh Phúc,2013,13.6
480,Yên Bái,2013,29.4
481,Điện Biên,2013,35.5
482,Đà Nẵng,2013,9.3
483,Đông Nam Bộ,2013,9.1
484,Đắk Lắk,2013,24.7
485,Đắk Nông,2013,28.5
486,Đồng Nai,2013,8.1
487,Đồng Tháp,2013,12.5
488,Đồng bằng sông Cửu Long,2013,12.0
489,Đồng bằng sông Hồng,2013,12.2
490,An Giang,2014,14.6
491,Bà Rịa - Vũng Tàu,2014,8.3
492,Bình Dương,2014,9.1
493,Bình Phước,2014,14.3
494,Bình Thuận,2014,12.7
495,Bình Định,2014,15.4
496,Bạc Liêu,2014,12.3
497,Bắc Giang,2014,15.3
498,Bắc Kạn,2014,17.9
499,Bắc Ninh,2014,13.1
500,Bắc Trung Bộ và Duyên hải miền Trung,2014,16.6
501,Bến Tre,2014,10.0
502,Cao Bằng,2014,24.3
503,Cà Mau,2014,11.5
504,CẢ NƯỚC,2014,14.9
505,Cần Thơ,2014,9.5
506,Gia Lai,2014,28.9
507,Hoà Bình,2014,34.2
508,Hà Giang,2014,12.2
509,Hà Nam,2014,10.2
510,Hà Nội,2014,17.4
511,Hà Tĩnh,2014,17.1
512,Hưng Yên,2014,12.4
513,Hải Dương,2014,11.9
514,Hải Phòng,2014,12.2
515,Hậu Giang,2014,10.2
516,Khánh Hoà,2014,14.2
517,Kiên Giang,2014,12.6
518,Kon Tum,2014,38.7
519,Lai Châu,2014,42.6
520,Long An,2014,9.7
521,Lào Cai,2014,29.2
522,Lâm Đồng,2014,16.6
523,Lạng Sơn,2014,18.6
524,Nam Định,2014,12.8
525,Nghệ An,2014,16.9
526,Ninh Bình,2014,14.6
527,Ninh Thuận,2014,16.6
528,Phú Thọ,2014,15.3
529,Phú Yên,2014,15.4
530,Quảng Bình,2014,17.3
531,Quảng Nam,2014,16.9
532,Quảng Ngãi,2014,18.2
533,Quảng Ninh,2014,15.3
534,Quảng Trị,2014,32.4
535,Sóc Trăng,2014,13.3
536,Sơn La,2014,23.2
537,TP.Hồ Chí Minh,2014,7.9
538,Thanh Hoá,2014,15.5
539,Thái Bình,2014,10.4
540,Thái Nguyên,2014,15.0
541,Thừa Thiên Huế,2014,20.3
542,Tiền Giang,2014,9.3
543,Trung du và miền núi phía Bắc,2014,22.4
544,Trà Vinh,2014,12.5
545,Tuyên Quang,2014,18.2
546,Tây Nguyên,2014,25.9
547,Tây Ninh,2014,12.0
548,Vĩnh Long,2014,10.3
549,Vĩnh Phúc,2014,13.1
550,Yên Bái,2014,28.3
551,Điện Biên,2014,34.4
552,Đà Nẵng,2014,9.0
553,Đông Nam Bộ,2014,8.8
554,Đắk Lắk,2014,24.2
555,Đắk Nông,2014,27.1
556,Đồng Nai,2014,7.8
557,Đồng Tháp,2014,12.1
558,Đồng bằng sông Cửu Long,2014,11.6
559,Đồng bằng sông Hồng,2014,11.8
560,An Giang,2015,14.4
561,Bà Rịa - Vũng Tàu,2015,8.1
562,Bình Dương,2015,9.0
563,Bình Phước,2015,14.0
564,Bình Thuận,2015,12.5
565,Bình Định,2015,15.1
566,Bạc Liêu,2015,12.1
567,Bắc Giang,2015,15.3
568,Bắc Kạn,2015,17.6
569,Bắc Ninh,2015,12.8
570,Bắc Trung Bộ và Duyên hải miền Trung,2015,16.3
571,Bến Tre,2015,9.8
572,Cao Bằng,2015,23.9
573,Cà Mau,2015,11.3
574,CẢ NƯỚC,2015,14.7
575,Cần Thơ,2015,9.3
576,Gia Lai,2015,26.3
577,Hoà Bình,2015,33.6
578,Hà Giang,2015,12.0
579,Hà Nam,2015,10.2
580,Hà Nội,2015,17.1
581,Hà Tĩnh,2015,17.4
582,Hưng Yên,2015,12.2
583,Hải Dương,2015,11.7
584,Hải Phòng,2015,12.0
585,Hậu Giang,2015,10.1
586,Khánh Hoà,2015,14.0
587,Kiên Giang,2015,12.6
588,Kon Tum,2015,38.1
589,Lai Châu,2015,41.9
590,Long An,2015,9.5
591,Lào Cai,2015,28.8
592,Lâm Đồng,2015,16.3
593,Lạng Sơn,2015,18.3
594,Nam Định,2015,12.6
595,Nghệ An,2015,16.8
596,Ninh Bình,2015,14.3
597,Ninh Thuận,2015,16.4
598,Phú Thọ,2015,15.1
599,Phú Yên,2015,15.2
600,Quảng Bình,2015,17.0
601,Quảng Nam,2015,16.6
602,Quảng Ngãi,2015,17.9
603,Quảng Ninh,2015,15.1
604,Quảng Trị,2015,31.9
605,Sóc Trăng,2015,13.1
606,Sơn La,2015,22.9
607,TP.Hồ Chí Minh,2015,7.7
608,Thanh Hoá,2015,15.5
609,Thái Bình,2015,10.3
610,Thái Nguyên,2015,14.7
611,Thừa Thiên Huế,2015,20.0
612,Tiền Giang,2015,9.1
613,Trung du và miền núi phía Bắc,2015,22.0
614,Trà Vinh,2015,12.3
615,Tuyên Quang,2015,18.6
616,Tây Nguyên,2015,24.8
617,Tây Ninh,2015,11.8
618,Vĩnh Long,2015,10.1
619,Vĩnh Phúc,2015,12.9
620,Yên Bái,2015,26.9
621,Điện Biên,2015,33.8
622,Đà Nẵng,2015,8.8
623,Đông Nam Bộ,2015,8.6
624,Đắk Lắk,2015,24.0
625,Đắk Nông,2015,25.7
626,Đồng Nai,2015,7.7
627,Đồng Tháp,2015,11.9
628,Đồng bằng sông Cửu Long,2015,11.4
629,Đồng bằng sông Hồng,2015,11.7
630,An Giang,2016,14.1
631,Bà Rịa - Vũng Tàu,2016,8.0
632,Bình Dương,2016,8.8
633,Bình Phước,2016,13.8
634,Bình Thuận,2016,12.3
635,Bình Định,2016,14.8
636,Bạc Liêu,2016,11.9
637,Bắc Giang,2016,15.0
638,Bắc Kạn,2016,17.3
639,Bắc Ninh,2016,12.6
640,Bắc Trung Bộ và Duyên hải miền Trung,2016,16.0
641,Bến Tre,2016,9.6
642,Cao Bằng,2016,23.5
643,Cà Mau,2016,11.1
644,CẢ NƯỚC,2016,14.5
645,Cần Thơ,2016,9.1
646,Gia Lai,2016,25.8
647,Hoà Bình,2016,33.0
648,Hà Giang,2016,11.8
649,Hà Nam,2016,10.0
650,Hà Nội,2016,16.8
651,Hà Tĩnh,2016,17.1
652,Hưng Yên,2016,12.0
653,Hải Dương,2016,11.5
654,Hải Phòng,2016,11.8
655,Hậu Giang,2016,9.9
656,Khánh Hoà,2016,13.7
657,Kiên Giang,2016,12.3
658,Kon Tum,2016,37.4
659,Lai Châu,2016,41.1
660,Long An,2016,9.4
661,Lào Cai,2016,28.2
662,Lâm Đồng,2016,16.0
663,Lạng Sơn,2016,18.0
664,Nam Định,2016,12.3
665,Nghệ An,2016,16.5
666,Ninh Bình,2016,14.1
667,Ninh Thuận,2016,16.1
668,Phú Thọ,2016,14.8
669,Phú Yên,2016,14.9
670,Quảng Bình,2016,16.7
671,Quảng Nam,2016,16.3
672,Quảng Ngãi,2016,17.5
673,Quảng Ninh,2016,14.8
674,Quảng Trị,2016,31.3
675,Sóc Trăng,2016,12.9
676,Sơn La,2016,22.4
677,TP.Hồ Chí Minh,2016,7.6
678,Thanh Hoá,2016,15.2
679,Thái Bình,2016,10.1
680,Thái Nguyên,2016,14.5
681,Thừa Thiên Huế,2016,19.6
682,Tiền Giang,2016,9.0
683,Trung du và miền núi phía Bắc,2016,21.5
684,Trà Vinh,2016,12.1
685,Tuyên Quang,2016,18.2
686,Tây Nguyên,2016,24.0
687,Tây Ninh,2016,11.6
688,Vĩnh Long,2016,9.9
689,Vĩnh Phúc,2016,12.7
690,Yên Bái,2016,26.4
691,Điện Biên,2016,33.2
692,Đà Nẵng,2016,8.7
693,Đông Nam Bộ,2016,8.5
694,Đắk Lắk,2016,23.6
695,Đắk Nông,2016,25.2
696,Đồng Nai,2016,7.5
697,Đồng Tháp,2016,11.7
698,Đồng bằng sông Cửu Long,2016,11.2
699,Đồng bằng sông Hồng,2016,11.5
700,An Giang,2017,13.9
701,Bà Rịa - Vũng Tàu,2017,7.9
702,Bình Dương,2017,8.7
703,Bình Phước,2017,13.6
704,Bình Thuận,2017,12.1
705,Bình Định,2017,14.6
706,Bạc Liêu,2017,11.7
707,Bắc Giang,2017,14.8
708,Bắc Kạn,2017,17.0
709,Bắc Ninh,2017,12.4
710,Bắc Trung Bộ và Duyên hải miền Trung,2017,15.9
711,Bến Tre,2017,9.5
712,Cao Bằng,2017,23.1
713,Cà Mau,2017,10.9
714,CẢ NƯỚC,2017,14.4
715,Cần Thơ,2017,9.0
716,Gia Lai,2017,25.4
717,Hoà Bình,2017,32.5
718,Hà Giang,2017,11.6
719,Hà Nam,2017,9.8
720,Hà Nội,2017,16.6
721,Hà Tĩnh,2017,16.8
722,Hưng Yên,2017,11.8
723,Hải Dương,2017,11.3
724,Hải Phòng,2017,11.6
725,Hậu Giang,2017,9.7
726,Khánh Hoà,2017,13.5
727,Kiên Giang,2017,12.1
728,Kon Tum,2017,36.8
729,Lai Châu,2017,40.5
730,Long An,2017,9.2
731,Lào Cai,2017,27.8
732,Lâm Đồng,2017,15.8
733,Lạng Sơn,2017,17.7
734,Nam Định,2017,12.1
735,Nghệ An,2017,16.3
736,Ninh Bình,2017,13.9
737,Ninh Thuận,2017,15.8
738,Phú Thọ,2017,14.6
739,Phú Yên,2017,14.7
740,Quảng Bình,2017,16.4
741,Quảng Nam,2017,16.1
742,Quảng Ngãi,2017,17.3
743,Quảng Ninh,2017,14.6
744,Quảng Trị,2017,30.8
745,Sóc Trăng,2017,12.7
746,Sơn La,2017,22.1
747,TP.Hồ Chí Minh,2017,7.5
748,Thanh Hoá,2017,15.0
749,Thái Bình,2017,9.9
750,Thái Nguyên,2017,14.2
751,Thừa Thiên Huế,2017,19.3
752,Tiền Giang,2017,8.8
753,Trung du và miền núi phía Bắc,2017,21.4
754,Trà Vinh,2017,11.9
755,Tuyên Quang,2017,18.0
756,Tây Nguyên,2017,23.7
757,Tây Ninh,2017,11.4
758,Vĩnh Long,2017,9.8
759,Vĩnh Phúc,2017,12.5
760,Yên Bái,2017,26.1
761,Điện Biên,2017,32.7
762,Đà Nẵng,2017,8.5
763,Đông Nam Bộ,2017,8.4
764,Đắk Lắk,2017,23.2
765,Đắk Nông,2017,24.9
766,Đồng Nai,2017,7.4
767,Đồng Tháp,2017,11.5
768,Đồng bằng sông Cửu Long,2017,11.0
769,Đồng bằng sông Hồng,2017,11.3
770,An Giang,2018,13.8
771,Bà Rịa - Vũng Tàu,2018,7.8
772,Bình Dương,2018,8.6
773,Bình Phước,2018,13.5
774,Bình Thuận,2018,12.1
775,Bình Định,2018,14.5
776,Bạc Liêu,2018,11.7
777,Bắc Giang,2018,14.7
778,Bắc Kạn,2018,16.9
779,Bắc Ninh,2018,12.3
780,Bắc Trung Bộ và Duyên hải miền Trung,2018,15.8
